Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   119420    0.014    0.000    0.014    0.000 {method 'lower' of 'str' objects}
    39684    0.010    0.000    0.013    0.000 ast.py:79(_convert)
      5/3    0.000    0.000    0.013    0.004 __init__.py:10(__getattr__)
33220/33204    0.004    0.000    0.013    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.013    0.013 api.py:41(__init__)
     3477    0.011    0.000    0.012    0.000 aritmetic_base.py:48(arithmeitc_neg_number)
1475/1473    0.002    0.000    0.012    0.000 abstract.py:60(__call__)
     1113    0.001    0.000    0.012    0.000 abc.py:84(__new__)
   142233    0.010    0.000    0.012    0.000 {method 'get' of 'dict' objects}
    85090    0.012    0.000    0.012    0.000 {built-in method builtins.locals}
   148674    0.012    0.000    0.012    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.012    0.012 unicode.py:1(<module>)
     9840    0.005    0.000    0.012    0.000 add_comments.py:17(get_line_labels)
    65811    0.011    0.000    0.011    0.000 formatter.py:63(get_encoding)
      335    0.000    0.000    0.011    0.000 __init__.py:1598(_has)
   105087    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
      335    0.000    0.000    0.011    0.000 genericpath.py:16(exists)
    23576    0.009    0.000    0.011    0.000 __init__.py:64(write)
        1    0.002    0.002    0.011    0.011 tabulate.py:1743(<listcomp>)
     4859    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x00007FFF969C1C60}
      719    0.002    0.000    0.011    0.000 templates.py:868(make_overload_template)
    65811    0.010    0.000    0.010    0.000 binary_class.py:307(__fix_zero_lenght)
    65894    0.010    0.000    0.010    0.000 {built-in method _operator.index}
     8190    0.010    0.000    0.010    0.000 {method 'format_map' of 'str' objects}
    95331    0.010    0.000    0.010    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.010    0.010 cparser.py:1(<module>)
     3488    0.003    0.000    0.010    0.000 functools.py:872(wrapper)
        2    0.003    0.002    0.010    0.005 jumps.py:40(find_labels)
      406    0.004    0.000    0.010    0.000 {built-in method builtins.min}
        4    0.000    0.000    0.009    0.002 codegen.py:782(_finalize_final_module)
     9841    0.003    0.000    0.009    0.000 tabulate.py:1650(_pad_row)
    39842    0.009    0.000    0.009    0.000 {method 'find' of 'str' objects}
        8    0.000    0.000    0.009    0.001 codegen.py:1087(_load_defined_symbols)
    11970    0.004    0.000    0.009    0.000 utils.py:398(stream_list)
       50    0.000    0.000    0.009    0.000 codegen.py:1058(wrapper)
    43692    0.009    0.000    0.009    0.000 {method 'zfill' of 'str' objects}
     9840    0.005    0.000    0.009    0.000 tabulate.py:1659(_build_simple_row)
        1    0.002    0.002    0.009    0.009 tabulate.py:1555(<listcomp>)
       16    0.000    0.000    0.009    0.001 codegen.py:1091(<setcomp>)
        4    0.000    0.000    0.008    0.002 codegen.py:995(_finalize_specific)
     9841    0.004    0.000    0.008    0.000 solve_sections.py:43(handle_labels)
        4    0.000    0.000    0.008    0.002 executionengine.py:87(finalize_object)
        4    0.000    0.000    0.008    0.002 module.py:29(parse_bitcode)
      163    0.001    0.000    0.008    0.000 extending.py:205(decorate)
     9841    0.004    0.000    0.007    0.000 solve_sections.py:17(get_adress_offset)
    43694    0.007    0.000    0.007    0.000 {built-in method builtins.bin}
       13    0.001    0.000    0.007    0.001 __init__.py:345(namedtuple)
      225    0.000    0.000    0.007    0.000 extending.py:155(wrap)
     3432    0.003    0.000    0.007    0.000 error.py:19(__init__)
    43692    0.007    0.000    0.007    0.000 numeric.py:1969(warn_if_insufficient)
    20018    0.005    0.000    0.007    0.000 base.py:18(__len__)
      219    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.007    0.007 misc.py:1(<module>)
        3    0.001    0.000    0.006    0.002 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.006    0.002    0.006    0.002 debug_heades.py:7(<listcomp>)
      225    0.000    0.000    0.006    0.000 extending.py:138(register_jitable)
     6062    0.005    0.000    0.006    0.000 __init__.py:235(newline)
    39684    0.006    0.000    0.006    0.000 configparser.py:663(has_section)
      431    0.000    0.000    0.006    0.000 __init__.py:1393(_get_metadata_path)
      118    0.000    0.000    0.006    0.000 __init__.py:2513(parse_group)
      162    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    29520    0.004    0.000    0.006    0.000 debug_heades.py:8(<lambda>)
      431    0.001    0.000    0.006    0.000 __init__.py:1472(_fn)
     9840    0.006    0.000    0.006    0.000 tabulate.py:1653(<listcomp>)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
      153    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     9840    0.005    0.000    0.006    0.000 add_comments.py:7(find_key_by_value)
        1    0.000    0.000    0.006    0.006 typedlist.py:1(<module>)
    20/17    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
    20/17    0.002    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
     3488    0.003    0.000    0.006    0.000 functools.py:816(dispatch)
        2    0.000    0.000    0.005    0.003 profile.py:98(__build_commands)
        2    0.000    0.000    0.005    0.003 profile.py:39(process_commands)
       11    0.000    0.000    0.005    0.000 cp1250.py:18(encode)
