Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 itanium_mangler.py:125(mangle_identifier)
        1    0.000    0.000    0.000    0.000 unicode_support.py:58(_PyUnicode_TyperecordMasks)
      248    0.000    0.000    0.000    0.000 inspect.py:2847(<genexpr>)
        1    0.000    0.000    0.000    0.000 numbers.py:519(_implement_integer_operators)
        2    0.000    0.000    0.000    0.000 profile.py:116(<dictcomp>)
      348    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      198    0.000    0.000    0.000    0.000 templates.py:987(__init__)
       46    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       32    0.000    0.000    0.000    0.000 weakref.py:162(__setitem__)
      772    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 typing.py:462(Optional)
      143    0.000    0.000    0.000    0.000 common.py:9(_decode_string)
      246    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 npdatetime.py:111(<listcomp>)
       15    0.000    0.000    0.000    0.000 ast.py:67(_convert_num)
      248    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        2    0.000    0.000    0.000    0.000 getlimits.py:399(_init)
       69    0.000    0.000    0.000    0.000 extending.py:366(__repr__)
       20    0.000    0.000    0.000    0.000 pyparsing.py:755(copy)
        1    0.000    0.000    0.000    0.000 arraydecl.py:238(ArrayAttribute)
        6    0.000    0.000    0.000    0.000 mathimpl.py:127(unary_math_intr)
        2    0.000    0.000    0.000    0.000 win32.py:98(winapi_test)
      215    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
       10    0.000    0.000    0.000    0.000 typing.py:660(__init__)
       16    0.000    0.000    0.000    0.000 event.py:296(install_listener)
       49    0.000    0.000    0.000    0.000 core.py:110(int)
        4    0.000    0.000    0.000    0.000 itanium_mangler.py:133(<listcomp>)
        4    0.000    0.000    0.000    0.000 core.py:142(array)
       55    0.000    0.000    0.000    0.000 imputils.py:42(_decorate_attr)
        3    0.000    0.000    0.000    0.000 rangeobj.py:19(make_range_iterator)
       43    0.000    0.000    0.000    0.000 dispatcher.py:735(__repr__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
        1    0.000    0.000    0.000    0.000 c_lexer.py:16(CLexer)
      157    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        2    0.000    0.000    0.000    0.000 arraymath.py:3994(generate_xinfo)
       43    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        4    0.000    0.000    0.000    0.000 module.py:124(name)
        1    0.000    0.000    0.000    0.000 dictdecl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1848(_has)
      210    0.000    0.000    0.000    0.000 registry.py:38(target_context)
        1    0.000    0.000    0.000    0.000 _termui_impl.py:2(<module>)
        2    0.000    0.000    0.000    0.000 listobject.py:689(_gen_getitem)
       43    0.000    0.000    0.000    0.000 functions.py:529(__hash__)
       21    0.000    0.000    0.000    0.000 mathimpl.py:139(unary_math_extern)
        1    0.000    0.000    0.000    0.000 listdecl.py:30(ListAttribute)
       60    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 decomp.py:16(<module>)
       52    0.000    0.000    0.000    0.000 overload_glue.py:220(add_no_defer)
       84    0.000    0.000    0.000    0.000 overload_glue.py:104(inner)
        6    0.000    0.000    0.000    0.000 win32.py:99(<genexpr>)
      155    0.000    0.000    0.000    0.000 abstract.py:27(_on_type_disposal)
        4    0.000    0.000    0.000    0.000 caching.py:556(_data_path)
       70    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        4    0.000    0.000    0.000    0.000 types.py:423(wrap_constant_value)
        4    0.000    0.000    0.000    0.000 _compat.py:752(func)
       28    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       24    0.000    0.000    0.000    0.000 contextlib.py:242(helper)
        8    0.000    0.000    0.000    0.000 caching.py:701(<lambda>)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      524    0.000    0.000    0.000    0.000 misc.py:112(key)
      421    0.000    0.000    0.000    0.000 {function _typedict.__getitem__ at 0x00000160738AF9D0}
        1    0.000    0.000    0.000    0.000 slicing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1724(zipinfo)
      315    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      142    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        4    0.000    0.000    0.000    0.000 module.py:7(__init__)
        1    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
        4    0.000    0.000    0.000    0.000 win32.py:92(_winapi_test)
        1    0.000    0.000    0.000    0.000 __init__.py:1678(load)
       10    0.000    0.000    0.000    0.000 pyparsing.py:433(__delitem__)
        3    0.000    0.000    0.000    0.000 debug_heades.py:12(tokenize_debug_comman)
      100    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend._get_common_types}
        1    0.000    0.000    0.000    0.000 polynomial.py:1(<module>)
       48    0.000    0.000    0.000    0.000 lapack.py:876(backtickrepl)
        2    0.000    0.000    0.000    0.000 arraymath.py:2259(np_interp_impl_complex_fp_inner_factory)
        5    0.000    0.000    0.000    0.000 model.py:589(global_cache)
        2    0.000    0.000    0.000    0.000 containers.py:300(__new__)
        7    0.000    0.000    0.000    0.000 enum.py:594(_find_new_)
    28/26    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       34    0.000    0.000    0.000    0.000 environment.py:60(lookup_environment)
       80    0.000    0.000    0.000    0.000 templates.py:38(__init__)
       20    0.000    0.000    0.000    0.000 typing.py:121(_type_convert)
        4    0.000    0.000    0.000    0.000 itanium_mangler.py:86(_escape_string)
       69    0.000    0.000    0.000    0.000 typing.py:648(_is_dunder)
        2    0.000    0.000    0.000    0.000 re.py:315(_compile_repl)
        1    0.000    0.000    0.000    0.000 model.py:316(build_backend_type)
       29    0.000    0.000    0.000    0.000 mathimpl.py:123(unary_math_int_impl)
        8    0.000    0.000    0.000    0.000 plyparser.py:116(_create_param_rules)
       55    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
      178    0.000    0.000    0.000    0.000 profile.py:32(<listcomp>)
      375    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 typing.py:968(__class_getitem__)
       35    0.000    0.000    0.000    0.000 pyparsing.py:644(__getattr__)
       14    0.000    0.000    0.000    0.000 enum.py:547(_get_mixins_)
      131    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       15    0.000    0.000    0.000    0.000 ast.py:65(_raise_malformed_node)
        1    0.000    0.000    0.000    0.000 dictobject.py:59(Status)
       43    0.000    0.000    0.000    0.000 functions.py:510(_store_object)
        4    0.000    0.000    0.000    0.000 dispatcher.py:353(add_overload)
       24    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        4    0.000    0.000    0.000    0.000 module.py:233(__repr__)
        1    0.000    0.000    0.000    0.000 bsr.py:22(bsr_matrix)
       15    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 unicode_support.py:380(_PY_CTF)
        2    0.000    0.000    0.000    0.000 enum.py:942(__or__)
        1    0.000    0.000    0.000    0.000 ctypes_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 model.py:272(build_backend_type)
        5    0.000    0.000    0.000    0.000 contextlib.py:215(contextmanager)
        2    0.000    0.000    0.000    0.000 sre_parse.py:969(parse_template)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        2    0.000    0.000    0.000    0.000 containers.py:313(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1515(<setcomp>)
      446    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       24    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        1    0.000    0.000    0.000    0.000 listobject.py:76(ListStatus)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
    21/13    0.000    0.000    0.000    0.000 model.py:81(__hash__)
       10    0.000    0.000    0.000    0.000 configparser.py:1197(set)
        1    0.000    0.000    0.000    0.000 configparser.py:1115(_join_multiline_values)
       86    0.000    0.000    0.000    0.000 inspect.py:514(_is_wrapper)
       43    0.000    0.000    0.000    0.000 typeconv.py:69(get_pointer)
        4    0.000    0.000    0.000    0.000 base.py:395(insert_user_function)
       70    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       26    0.000    0.000    0.000    0.000 __init__.py:517(cast)
      100    0.000    0.000    0.000    0.000 npytypes.py:458(key)
        6    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        5    0.000    0.000    0.000    0.000 __init__.py:1304(safe_name)
        3    0.000    0.000    0.000    0.000 extending.py:243(overload_classmethod)
       16    0.000    0.000    0.000    0.000 manager.py:16(register)
       13    0.000    0.000    0.000    0.000 registry.py:9(wraps)
       70    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        2    0.000    0.000    0.000    0.000 debug_heades.py:35(add_debug_command_logging)
       32    0.000    0.000    0.000    0.000 module.py:208(__init__)
       17    0.000    0.000    0.000    0.000 imputils.py:329(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:515(__init__)
        4    0.000    0.000    0.000    0.000 compiler_lock.py:19(__enter__)
        8    0.000    0.000    0.000    0.000 ffi.py:369(__hash__)
        6    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
        1    0.000    0.000    0.000    0.000 typedlist.py:194(List)
       20    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      268    0.000    0.000    0.000    0.000 common.py:27(_is_shutting_down)
      254    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      102    0.000    0.000    0.000    0.000 profile.py:116(<genexpr>)
      248    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
      133    0.000    0.000    0.000    0.000 templates.py:1245(Template)
        4    0.000    0.000    0.000    0.000 compiler_lock.py:11(acquire)
        1    0.000    0.000    0.000    0.000 __init__.py:216(<listcomp>)
        1    0.000    0.000    0.000    0.000 plyparser.py:11(<module>)
       60    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:237(_get_machar)
      138    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 executionengine.py:138(_find_module_ptr)
      201    0.000    0.000    0.000    0.000 abstract.py:114(__repr__)
       15    0.000    0.000    0.000    0.000 pyparsing.py:668(<listcomp>)
       97    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _termui_impl.py:299(generator)
        1    0.000    0.000    0.000    0.000 _compat.py:454(get_text_stdout)
        1    0.000    0.000    0.000    0.000 enum.py:899(_missing_)
        1    0.000    0.000    0.000    0.000 printimpl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 event.py:179(unregister)
       86    0.000    0.000    0.000    0.000 wcwidth.py:112(_bisearch)
       20    0.000    0.000    0.000    0.000 ffi.py:235(__init__)
      216    0.000    0.000    0.000    0.000 value.py:119(is_global)
        1    0.000    0.000    0.000    0.000 optional.py:1(<module>)
       43    0.000    0.000    0.000    0.000 bytecode.py:30(get_code_object)
        4    0.000    0.000    0.000    0.000 compiler_lock.py:22(__exit__)
       38    0.000    0.000    0.000    0.000 sigutils.py:4(is_signature)
       42    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:909(_create_pseudo_member_)
       39    0.000    0.000    0.000    0.000 weakref.py:192(get)
        2    0.000    0.000    0.000    0.000 jumps.py:58(check_section_exists)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:511(unified_function_type)
        8    0.000    0.000    0.000    0.000 event.py:166(register)
        7    0.000    0.000    0.000    0.000 typing.py:223(_remove_dups_flatten)
        4    0.000    0.000    0.000    0.000 types.py:431(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      187    0.000    0.000    0.000    0.000 overload_glue.py:246(glue_lowering)
        4    0.000    0.000    0.000    0.000 sigutils.py:22(normalize_signature)
        3    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        1    0.000    0.000    0.000    0.000 arraymath.py:4050(_corr_conv_Mode)
       14    0.000    0.000    0.000    0.000 enum.py:558(_find_data_type)
        4    0.000    0.000    0.000    0.000 compiler_lock.py:15(release)
        1    0.000    0.000    0.000    0.000 functions.py:652(__init__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
       20    0.000    0.000    0.000    0.000 ffi.py:253(__del__)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c_parser.py:19(CParser)
       89    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 ntpath.py:221(dirname)
        8    0.000    0.000    0.000    0.000 scalars.py:46(cast_python_value)
       26    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       80    0.000    0.000    0.000    0.000 npyimpl.py:450(_KernelImpl)
        1    0.000    0.000    0.000    0.000 enum.py:988(_decompose)
       26    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       52    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       52    0.000    0.000    0.000    0.000 imputils.py:144(_decorate_getattr)
       10    0.000    0.000    0.000    0.000 configparser.py:891(set)
       30    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        6    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       12    0.000    0.000    0.000    0.000 contextlib.py:446(_push_cm_exit)
        8    0.000    0.000    0.000    0.000 _termui_impl.py:229(render_progress)
        2    0.000    0.000    0.000    0.000 configparser.py:1203(add_section)
        1    0.000    0.000    0.000    0.000 ctypes_utils.py:34(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _decomp_cossin.py:2(<module>)
        4    0.000    0.000    0.000    0.000 module.py:207(_get_body_lines)
        1    0.000    0.000    0.000    0.000 ccallback.py:32(CFunc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
       12    0.000    0.000    0.000    0.000 typing.py:182(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 sputils.py:1(<module>)
       19    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       12    0.000    0.000    0.000    0.000 ffi.py:260(__str__)
      153    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       32    0.000    0.000    0.000    0.000 weakref.py:345(__new__)
       48    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        7    0.000    0.000    0.000    0.000 enum.py:537(_check_for_existing_members)
       46    0.000    0.000    0.000    0.000 imputils.py:103(decorate)
        1    0.000    0.000    0.000    0.000 unicode_support.py:608(_PY_CTF_LB)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2431(parseImpl)
        1    0.000    0.000    0.000    0.000 setobj.py:108(_SetPayload)
       84    0.000    0.000    0.000    0.000 overload_glue.py:97(wrap_impl)
        2    0.000    0.000    0.000    0.000 containers.py:290(__init__)
        1    0.000    0.000    0.000    0.000 _index.py:1(<module>)
       78    0.000    0.000    0.000    0.000 enum.py:414(<genexpr>)
       25    0.000    0.000    0.000    0.000 copyreg.py:41(_reconstructor)
      216    0.000    0.000    0.000    0.000 ffi.py:328(_dispose)
        2    0.000    0.000    0.000    0.000 blas.py:376(_memoize_get_funcs)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 typing.py:815(__getitem__)
      178    0.000    0.000    0.000    0.000 profile.py:35(<listcomp>)
        4    0.000    0.000    0.000    0.000 _termui_impl.py:107(__enter__)
        8    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dictobject.py:53(DKIX)
        1    0.000    0.000    0.000    0.000 construct.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ansitowin32.py:43(isatty)
        3    0.000    0.000    0.000    0.000 imputils.py:237(wrapper)
       43    0.000    0.000    0.000    0.000 dispatcher.py:309(_make_finalizer)
        4    0.000    0.000    0.000    0.000 _termui_impl.py:34(_length_hint)
        1    0.000    0.000    0.000    0.000 hashing.py:405(DJBX33A)
       21    0.000    0.000    0.000    0.000 model.py:68(_get_items)
        4    0.000    0.000    0.000    0.000 dispatcher.py:1076(_get_dispatcher_for_current_target)
      162    0.000    0.000    0.000    0.000 inspect.py:2565(name)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
       32    0.000    0.000    0.000    0.000 weakref.py:350(__init__)
       13    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        2    0.000    0.000    0.000    0.000 typing.py:990(__init_subclass__)
        1    0.000    0.000    0.000    0.000 model.py:91(build_backend_type)
       24    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 typing.py:1150(__init_subclass__)
        1    0.000    0.000    0.000    0.000 templates.py:164(make_concrete_template)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1567(resetCache)
        4    0.000    0.000    0.000    0.000 _compat.py:742(isatty)
       68    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        5    0.000    0.000    0.000    0.000 requirements.py:59(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:242(<listcomp>)
      124    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       89    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        3    0.000    0.000    0.000    0.000 context.py:11(__init__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        8    0.000    0.000    0.000    0.000 module.py:52(__init__)
        2    0.000    0.000    0.000    0.000 ansitowin32.py:116(get_win32_calls)
        1    0.000    0.000    0.000    0.000 numerictypes.py:482(<lambda>)
        5    0.000    0.000    0.000    0.000 specifiers.py:665(__init__)
        1    0.000    0.000    0.000    0.000 wcwidth.py:265(_wcmatch_version)
        4    0.000    0.000    0.000    0.000 globals.py:38(resolve_color_default)
        1    0.000    0.000    0.000    0.000 base.py:58(spmatrix)
       43    0.000    0.000    0.000    0.000 registry.py:49(typing_context)
        1    0.000    0.000    0.000    0.000 _compat.py:414(_force_correct_text_writer)
        9    0.000    0.000    0.000    0.000 sigutils.py:43(check_type)
       52    0.000    0.000    0.000    0.000 overload_glue.py:72(wrap_typing)
        2    0.000    0.000    0.000    0.000 configparser.py:649(add_section)
        4    0.000    0.000    0.000    0.000 itanium_mangler.py:116(_len_encoded)
       43    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.get_pointer}
        2    0.000    0.000    0.000    0.000 _util.py:192(__init__)
        1    0.000    0.000    0.000    0.000 _compat.py:362(_force_correct_text_stream)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
       26    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        4    0.000    0.000    0.000    0.000 codegen.py:530(__init__)
        6    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.000    0.000 pyparsing.py:693(_asStringList)
        1    0.000    0.000    0.000    0.000 numbers.py:567(_implement_bitwise_operators)
        8    0.000    0.000    0.000    0.000 context.py:13(__init__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
        2    0.000    0.000    0.000    0.000 definitions.py:48(add_definition)
       40    0.000    0.000    0.000    0.000 pyparsing.py:315(__init__)
        2    0.000    0.000    0.000    0.000 profile.py:108(__build_info)
        1    0.000    0.000    0.000    0.000 _winconsole.py:351(_get_windows_console_stream)
        1    0.000    0.000    0.000    0.000 cmathdecl.py:13(CMath_unary)
        4    0.000    0.000    0.000    0.000 functools.py:839(register)
        2    0.000    0.000    0.000    0.000 functools.py:848(<lambda>)
      129    0.000    0.000    0.000    0.000 inspect.py:2882(parameters)
       99    0.000    0.000    0.000    0.000 value.py:123(is_function)
        8    0.000    0.000    0.000    0.000 cgutils.py:1147(normalize_ir_text)
        1    0.000    0.000    0.000    0.000 typing.py:824(copy_with)
       18    0.000    0.000    0.000    0.000 enum.py:410(__iter__)
        4    0.000    0.000    0.000    0.000 _termui_impl.py:115(__iter__)
        2    0.000    0.000    0.000    0.000 configparser.py:198(__init__)
      100    0.000    0.000    0.000    0.000 pyparsing.py:317(__getitem__)
       43    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       89    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 globals.py:6(get_current_context)
       35    0.000    0.000    0.000    0.000 pyparsing.py:506(haskeys)
       10    0.000    0.000    0.000    0.000 configparser.py:398(before_set)
        1    0.000    0.000    0.000    0.000 _winconsole.py:338(_is_console)
       78    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       86    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 mathdecl.py:115(Math_gcd)
        7    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       38    0.000    0.000    0.000    0.000 {method 'from_address' of '_ctypes.PyCArrayType' objects}
       86    0.000    0.000    0.000    0.000 __init__.py:649(update)
       10    0.000    0.000    0.000    0.000 misc.py:50(unliteral)
        4    0.000    0.000    0.000    0.000 model.py:264(__init__)
        1    0.000    0.000    0.000    0.000 cmathdecl.py:44(Cmath_log)
        1    0.000    0.000    0.000    0.000 compile.py:63(show_outfiles)
        8    0.000    0.000    0.000    0.000 numpy_support.py:85(from_dtype)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:883(_resolve_name)
        3    0.000    0.000    0.000    0.000 abstract.py:463(__init__)
        1    0.000    0.000    0.000    0.000 ast_transforms.py:10(<module>)
        8    0.000    0.000    0.000    0.000 pythonapi.py:28(register)
       15    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _laplacian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashing.py:419(_Py_HashSecret_t)
        1    0.000    0.000    0.000    0.000 randomdecl.py:177(Numpy_poisson)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:766(__contains__)
      125    0.000    0.000    0.000    0.000 pyparsing.py:1366(postParse)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
      126    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
       18    0.000    0.000    0.000    0.000 data.py:131(_create_method)
       43    0.000    0.000    0.000    0.000 dispatcher.py:236(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
        4    0.000    0.000    0.000    0.000 dispatcher.py:941(cb_llvm)
        1    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        4    0.000    0.000    0.000    0.000 compile.py:59(show_warnings)
       65    0.000    0.000    0.000    0.000 pyparsing.py:458(__bool__)
        7    0.000    0.000    0.000    0.000 enum.py:391(__getattr__)
        1    0.000    0.000    0.000    0.000 bufproto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1294(_legacy_get_spec)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
       52    0.000    0.000    0.000    0.000 imputils.py:47(lower_getattr)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:209(_deduplicate)
       18    0.000    0.000    0.000    0.000 imputils.py:115(decorate)
        1    0.000    0.000    0.000    0.000 commontypes.py:55(win_common_types)
       47    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       46    0.000    0.000    0.000    0.000 imputils.py:95(lower_cast)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:31(__call__)
        1    0.000    0.000    0.000    0.000 mathdecl.py:10(Math_unary)
       44    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        4    0.000    0.000    0.000    0.000 weakref.py:441(get)
        1    0.000    0.000    0.000    0.000 cffiimpl.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       24    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
       21    0.000    0.000    0.000    0.000 model.py:69(<listcomp>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
        2    0.000    0.000    0.000    0.000 pipeline.py:51(make_parser_pipeline)
        8    0.000    0.000    0.000    0.000 numpy_support.py:220(map_layout)
        1    0.000    0.000    0.000    0.000 compressed.py:24(_cs_matrix)
       12    0.000    0.000    0.000    0.000 __init__.py:47(parse_offset_label)
        1    0.000    0.000    0.000    0.000 numerictypes.py:405(__getitem__)
        2    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 typeof.py:124(_typeof_int)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
       12    0.000    0.000    0.000    0.000 configparser.py:1166(_validate_value_types)
       52    0.000    0.000    0.000    0.000 types.py:359(__getitem__)
        1    0.000    0.000    0.000    0.000 model.py:560(unknown_type)
        7    0.000    0.000    0.000    0.000 tabulate.py:839(_align_column_choose_width_fn)
        1    0.000    0.000    0.000    0.000 special_matrices.py:1(<module>)
        1    0.000    0.000    0.000    0.000 model.py:174(build_backend_type)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        8    0.000    0.000    0.000    0.000 ffi.py:267(__bool__)
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 cparser.py:297(__init__)
       12    0.000    0.000    0.000    0.000 contextlib.py:451(_push_exit_callback)
       22    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        4    0.000    0.000    0.000    0.000 {built-in method numba._dynfunc.make_function}
       45    0.000    0.000    0.000    0.000 emulator.py:128(params_ignore)
